Filing Date,Ticker,Company Name,Insider Name,Transaction Price,Price Bought,Value,Hour,Day,Month,Price_Impact,Is_Morning,Is_Afternoon,Large_Trade,Rolling_Avg_Impact
2025-02-05 16:03:11,AESI,Atlas Energy Solutions Inc.,Brigham Ben M,23.0,21.81999969482422,4999993,16,Wednesday,2,-0.05130436109459918,False,True,True,-0.05130436109459918
2025-02-05 16:17:07,MBX,"Mbx Biosciences, Inc.",Hawryluk P. Kent,10.69,11.279999732971191,534500,16,Wednesday,2,0.05519174302817511,False,True,False,0.05519174302817511
2025-02-05 18:56:24,PBF,Pbf Energy Inc.,Control Empresarial De Capitales S.A. De C.V.,27.47,29.690000534057617,1098968,18,Wednesday,2,0.08081545446150777,False,False,False,0.08081545446150777
2025-02-06 07:42:07,JBLU,Jetblue Airways Corp,Mittal Nik,6.14,6.440000057220459,614340,7,Thursday,2,0.04885994417271324,False,False,False,0.04885994417271324
2025-02-06 18:46:43,MUR,Murphy Oil Corp,Deming Claiborne P,26.51,26.309999465942383,2651415,18,Thursday,2,-0.007544343042535599,False,False,True,-0.007544343042535599
2025-02-07 15:21:05,LFUS,Littelfuse Inc /de,Grillo Anthony,233.98,232.6300048828125,4094575,15,Friday,2,-0.005769703039522565,False,True,True,-0.005769703039522565
2025-02-07 16:04:37,REFLX,Pimco Flexible Real Estate Income Fund,Ivascyn Daniel J,10.49,10.479999542236328,10490000,16,Friday,2,-0.0009533324846207901,False,True,True,-0.0009533324846207901
2025-02-07 16:04:52,MRK,"Merck & Co., Inc.",Baker Douglas M Jr,88.5,87.30500030517578,1327500,16,Friday,2,-0.01350282141044315,False,True,False,-0.01350282141044315
2025-02-07 16:18:52,EL,Estee Lauder Companies Inc,Fribourg Paul J,65.8,65.04000091552734,5724373,16,Friday,2,-0.011550138061894429,False,True,True,-0.011550138061894429
2025-02-07 16:21:19,TECX,"Tectonic Therapeutic, Inc.",Springer Timothy A,50.68,36.470001220703125,39999977,16,Friday,2,-0.28038671624500544,False,True,True,-0.28038671624500544
2025-02-07 17:01:57,FLWS,1 800 Flowers Com Inc,"Fund 1 Investments, LLC",8.04,8.0600004196167,2933822,17,Friday,2,0.002487614380186576,False,False,True,0.002487614380186576
2025-02-07 19:35:56,KEY,Keycorp /New/,Bank of Nova Scotia,17.85,17.84000015258789,892500,19,Friday,2,-0.0005602155412947225,False,False,False,-0.0005602155412947225
2025-02-07 19:54:28,AKRO,"Akero Therapeutics, Inc.",Graham G. Walmsley,48.0,54.209999084472656,9600000,19,Friday,2,0.12937498092651367,False,False,True,0.12937498092651367
2025-02-07 20:30:05,TKO,"Tko Group Holdings, Inc.",Emanuel Ariel,163.27,166.41000366210938,54181770,20,Friday,2,0.01923196951129641,False,False,True,0.01923196951129641
2025-02-07 21:14:34,PBF,Pbf Energy Inc.,Control Empresarial De Capitales S.A. De C.V.,28.7,27.81999969482422,4305060,21,Friday,2,-0.030662031539225802,False,False,True,0.025076711461140985
2025-02-10 08:19:12,PCT,"Purecycle Technologies, Inc.",Sylebra Capital LLC,8.06,8.9399995803833,4996596,8,Monday,2,0.10918108937758067,False,False,True,0.10918108937758067
2025-02-10 16:01:33,EL,Estee Lauder Companies Inc,Fribourg Paul J,65.0,68.70999908447266,2957333,16,Monday,2,0.05707690899188702,False,True,True,0.022763385464996296
2025-02-10 16:01:42,MTCH,"Match Group, Inc.",Rascoff Spencer M,34.41,33.619998931884766,2049704,16,Monday,2,-0.02295847335411889,False,True,False,-0.02295847335411889
2025-02-10 16:05:04,SION,"Sionna Therapeutics, Inc.","Atlas Venture Fund Xi, L.P.",18.0,22.46999931335449,1080000,16,Monday,2,0.2483332951863605,False,True,False,0.2483332951863605
